,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13041,55,,B1,140-19 183RD STREET,,11413,2,0,2,"2,413","1,800",1950,1,B1,"790,000",05/01/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13043,25,,B3,185-06 140 AVENUE,,11413,2,0,2,"5,000","1,520",1996,1,B3,"918,750",02/19/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13044,67,,B2,140-35 COOMBS STREET,,11413,2,0,2,"2,800","1,932",2004,1,B2,"940,000",09/04/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13044,70,,B2,140-27 COOMBS STREET,,11413,2,0,2,"2,800","1,932",2004,1,B2,"610,000",10/23/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13044,70,,B2,140-27 COOMBS STREET,,11413,2,0,2,"2,800","1,932",2004,1,B2,"999,000",04/21/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13044,86,,B2,140-50 CHARLES LANE,,11413,2,0,2,"2,800","1,672",2005,1,B2,"250,000",11/14/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13048,44,,B3,179-23 142 AVENUE,,11434,2,0,2,"3,000","1,584",1930,1,B3,0,09/24/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13050,15,,B3,141-22 181 STREET,,11413,2,0,2,"3,000","1,584",1930,1,B3,"750,000",06/17/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13052,24,,B3,141-25 182ND STREET,,11413,2,0,2,"4,320","2,000",1920,1,B3,"647,783",08/20/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13055,27,,B3,141-35 184 STREET,,11413,2,0,2,"2,660","1,499",1945,1,B3,0,11/20/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13055,42,,B3,184-02 141 AVENUE,,11413,2,0,2,"5,000","1,551",1930,1,B3,0,11/17/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13090,66,,B2,180-21 NORTH CONDUIT AVENUE,,11434,2,0,2,"4,480","1,376",1955,1,B2,0,03/05/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13092,24,,B2,144-14 182 PLACE,,11413,2,0,2,"3,500","2,200",2004,1,B2,"952,600",10/31/2025
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13093,5,,B2,14421 182 PL,,11413,2,0,2,"2,936","2,112",1995,1,B2,0,07/27/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13093,17,,B3,182-16 144TH AVENUE,,11413,2,0,2,"4,000","1,650",1955,1,B3,"1,000",06/08/2026
Queens Rolling Sales. All Sales From August 2025 - July 2026,4,SPRINGFIELD GARDENS,02 TWO FAMILY DWELLINGS,1,13094,49,,B3,184-22 144 AVENUE,,11413,2,0,2,"12,875","2,112",1930,1,B3,0,09/24/2025
